,Spectra,Host,HostDistance,Contrast,eta,alpha,rho,Type_spectra
simu_0,/sps/ztf/data/sedm/redux/20191203/hgspec_target_crr_b_ifu20191203_02_34_21_ZTF19acvijnj.txt,/sps/ztf/data/sedm/redux/20211218/e3d_crr_b_ifu20211218_11_36_05_ZTF20aafrjqw.fits,5.371030534607166,0.0661465467283904,0.8462528810161853,2.0743334841701597,-0.2268642033143427,Ia
simu_1,/sps/ztf/data/sedm/redux/20210923/spec_auto_contsep_lstep1__crr_b_ifu20210923_11_03_45_ZTF21acaqdee.txt,/sps/ztf/data/sedm/redux/20211219/e3d_crr_b_ifu20211219_12_50_26_ZTF18acnbgrb.fits,2.7665283088443533,0.8498336851159071,0.2551526060631816,2.9430876972522046,-0.2820099882498256,II
simu_2,/sps/ztf/data/sedm/redux/20200415/spec_auto_robot_lstep1__crr_b_ifu20200415_08_48_59_ZTF20aatzhhl.txt,/sps/ztf/data/sedm/redux/20211219/e3d_crr_b_ifu20211219_08_39_47_ZTF20aciuakv.fits,6.6232438160732165,0.9192801003804212,0.4521860310475161,3.464340225101432,-0.1717184183788599,II
simu_3,/sps/ztf/data/sedm/redux/20180721/hgspec_target_crr_b_ifu20180721_04_48_17_ZTF18abgledy.txt,/sps/ztf/data/sedm/redux/20220128/e3d_crr_b_ifu20220128_05_47_36_ZTF20aarcpql.fits,3.974105305211205,0.7065202104184214,1.6343865809535234,3.116838539868614,-0.0981907051315494,Ia
simu_4,/sps/ztf/data/sedm/redux/20210923/spec_auto_robot_lstep1__crr_b_ifu20210923_11_03_45_ZTF21acaqdee.txt,/sps/ztf/data/sedm/redux/20211220/e3d_crr_b_ifu20211220_09_32_28_ZTF19accdehb.fits,7.380971833751453,0.7170469342018173,0.6492194560318507,3.98559275295066,-0.263628059937998,II
simu_5,/sps/ztf/data/sedm/redux/20210923/spec_auto_contsep_lstep1__crr_b_ifu20210923_11_03_45_ZTF21acaqdee.txt,/sps/ztf/data/sedm/redux/20211203/e3d_crr_b_ifu20211203_04_31_16_ZTF19abzwtiu.fits,7.589632319606156,0.8781662119296678,3.2106539808282,1.7268317989373407,-0.1901003466906875,II
simu_6,/sps/ztf/data/sedm/redux/20180915/hgspec_target_crr_b_ifu20180915_05_13_13_ZTF18absdjms.txt,/sps/ztf/data/sedm/redux/20211203/e3d_crr_b_ifu20211203_04_31_16_ZTF19abzwtiu.fits,6.723198768110464,0.2432754973042206,0.8462528810161853,1.90058264155375,-0.2268642033143427,Ia
simu_7,/sps/ztf/data/sedm/redux/20200516/hgspec_target_crr_b_ifu20200516_07_34_53_ZTF20aazgtmp.txt,/sps/ztf/data/sedm/redux/20220130/e3d_crr_b_ifu20220130_06_43_04_ZTF20aamsjws.fits,5.314963292753999,0.296278153298749,1.2403197309848544,2.421835169402977,-0.1533364900670323,Ia
simu_8,/sps/ztf/data/sedm/redux/20200217/hgspec_target_crr_b_ifu20200217_11_39_59_ZTF20aamifit.txt,/sps/ztf/data/sedm/redux/20211219/e3d_crr_b_ifu20211219_06_28_18_ZTF20aamuqwn.fits,3.4161608430279813,0.5504480206695476,0.4521860310475161,1.90058264155375,-0.0981907051315494,Ia
simu_9,/sps/ztf/data/sedm/redux/20180905/hgspec_target_crr_b_ifu20180905_07_39_52_ZTF18abshtdj.txt,/sps/ztf/data/sedm/redux/20211219/e3d_crr_b_ifu20211219_06_28_18_ZTF20aamuqwn.fits,1.3111716534812232,0.0853293860196682,2.0284534309221924,2.421835169402977,-0.0798087768197218,Ia
simu_10,/sps/ztf/data/sedm/redux/20210923/spec_auto_robot_lstep1__crr_b_ifu20210923_11_03_45_ZTF21acaqdee.txt,/sps/ztf/data/sedm/redux/20211220/e3d_crr_b_ifu20211220_09_32_28_ZTF19accdehb.fits,3.003607879531044,0.5189460771724903,0.6492194560318507,2.421835169402977,-0.0430449201960665,II
simu_11,/sps/ztf/data/sedm/redux/20200415/spec_auto_robot_lstep1__crr_b_ifu20200415_08_48_59_ZTF20aatzhhl.txt,/sps/ztf/data/sedm/redux/20220129/e3d_crr_b_ifu20220129_08_00_51_ZTF20aamdsjv.fits,5.290190140534448,0.2792023402422173,0.8462528810161853,2.0743334841701597,-0.3003919165616532,II
simu_12,/sps/ztf/data/sedm/redux/20210923/spec_auto_robot_lstep1__crr_b_ifu20210923_11_03_45_ZTF21acaqdee.txt,/sps/ztf/data/sedm/redux/20220128/e3d_crr_b_ifu20220128_05_47_36_ZTF20aarcpql.fits,1.5917143264614029,0.2796429362587647,2.6195537058751963,3.81184191033425,-0.0798087768197218,II
simu_13,/sps/ztf/data/sedm/redux/20211212/spec_auto_robot_lstep1__crr_b_ifu20211212_06_14_11_ZTF21acgqhru.txt,/sps/ztf/data/sedm/redux/20211203/e3d_crr_b_ifu20211203_04_31_16_ZTF19abzwtiu.fits,6.328112368260554,0.3190451201452385,0.2551526060631816,3.81184191033425,-0.2268642033143427,II
simu_14,/sps/ztf/data/sedm/redux/20180909/hgspec_target_crr_b_ifu20180909_10_57_55_ZTF18abrqedj.txt,/sps/ztf/data/sedm/redux/20211203/e3d_crr_b_ifu20211203_04_31_16_ZTF19abzwtiu.fits,6.431180481772447,0.1672797948451413,0.2551526060631816,2.5955860120193863,-0.2820099882498256,Ia
simu_15,/sps/ztf/data/sedm/redux/20180916/hgspec_target_crr_b_ifu20180916_11_34_08_ZTF18abujbio.txt,/sps/ztf/data/sedm/redux/20220130/e3d_crr_b_ifu20220130_06_43_04_ZTF20aamsjws.fits,8.190931317027703,0.5838973620993309,1.0432863060005195,2.248084326786568,-0.2452461316261703,Ia
simu_16,/sps/ztf/data/sedm/redux/20190305/hgspec_target_crr_b_ifu20190305_07_11_06_ZTF19aalcwjt.txt,/sps/ztf/data/sedm/redux/20211216/e3d_crr_b_ifu20211216_08_44_25_ZTF18abwkzuc.fits,6.216465013412999,0.8652050804538148,0.6492194560318507,1.90058264155375,-0.263628059937998,Ia
simu_17,/sps/ztf/data/sedm/redux/20201019/hgspec_target_crr_b_ifu20201019_12_17_43_ZTF20acifwef.txt,/sps/ztf/data/sedm/redux/20211219/e3d_crr_b_ifu20211219_06_28_18_ZTF20aamuqwn.fits,6.224051534986549,0.3948625611228437,0.8462528810161853,1.90058264155375,-0.1349545617552046,Ia
